SE_name_2014Q3_2024Q3,recommended_SE_name,recommended_umls_cui_from_meddra,cosine_similarity
Product administration error,Drug administration error,C1536055,0.8539781968095752
Product administration interrupted,incorrect drug administration duration,C1536001,0.6323332301730314
Product after taste,Bad taste,C0541799,0.6301930726049562
Product appearance confusion,product label confusion,C2609215,0.7777231523234688
Product availability issue,product closure issue,C2609220,0.7052361020869273
Product colour issue,product coating issue,C2609194,0.7041164161703712
Product communication issue,product packaging issue,C2721584,0.7734064626794531
Product complaint,product quality issue,C1881755,0.7056543523772641
Product confusion,product label confusion,C2609215,0.8635562599504674
Product container issue,product container issue,C2609218,0.9999999999999997
Product container seal issue,product container issue,C2609218,0.7988868902581249
Product contamination,product contamination,C2609178,1.0000000000000002
Product contamination microbial,product contamination,C2609178,0.871047864297374
Product contamination physical,product contamination,C2609178,0.8372327295992035
Product counterfeit,labelled drug-food interaction medication error,C1536017,0.6669522933415111
Product deposit,product deposit,C2609206,1.0000000000000002
Product difficult to swallow,Dysphagia,C0011168,0.6478560018227877
Product dispensing error,Drug administration error,C1536055,0.7517574728062371
Product dispensing issue,product packaging issue,C2721584,0.7749078987409114
Product distribution issue,product container issue,C2609218,0.7229580182403795
Product dosage form confusion,product label confusion,C2609215,0.8283156701996482
Product dosage form issue,product container issue,C2609218,0.7151031006709245
Product dose omission,incorrect dosage administered,C1536013,0.7213906314795575
Product dose omission in error,incorrect dosage administered,C1536013,0.7597855834548306
Product dose omission issue,incorrect dosage administered,C1536013,0.7451141625725335
Product formulation issue,product packaging issue,C2721584,0.7353056938838021
Product impurity,product contamination,C2609178,0.6615975117311305
Product label confusion,product label confusion,C2609215,0.9999999999999998
Product label issue,product packaging issue,C2721584,0.8205337446301672
Product leakage,device leakage,C0854482,0.8314366735178151
Product lot number issue,product packaging quantity issue,C2609224,0.7292426308743855
Product monitoring error,circumstance or information capable of leading to medication error,C0025115,0.6750110864459564
Product name confusion,product label confusion,C2609215,0.8939980729063381
Product odour abnormal,Urine odour abnormal,C0278045,0.8265938128093258
Product outer packaging issue,product packaging issue,C2721584,0.8892094883587983
Product packaging confusion,product label confusion,C2609215,0.8990907345572544
Product packaging difficult to open,product packaging issue,C2721584,0.7625304895525845
Product packaging issue,product packaging issue,C2721584,1.0000000000000013
Product physical consistency issue,product container issue,C2609218,0.7054757684886906
Product physical issue,device physical property issue,C1881733,0.827715045936458
Product preparation error,product contamination,C2609178,0.6655075343854095
Product prescribing error,Drug administration error,C1536055,0.7197452692580798
Product prescribing issue,product packaging issue,C2721584,0.6795964350881273
Product quality issue,product quality issue,C1881755,1.0
Product residue present,Medication residue present,C3665818,0.8052988346227006
Product selection error,product size issue,C2609205,0.6746445234263546
Product shape issue,product packaging issue,C2721584,0.7244853468347754
Product size issue,product size issue,C2609205,0.9999999999999994
Product solubility abnormal,product solubility abnormal,C2609201,1.0
Product storage error,product container issue,C2609218,0.7299477129255123
Product substitution,medical device change,C1167660,0.6095126838651214
Product substitution error,product size issue,C2609205,0.5676090002526897
Product substitution issue,product closure issue,C2609220,0.6239171780166778
Product supply issue,product quality issue,C1881755,0.7366332668493955
Product taste abnormal,Product taste abnormal,C2609199,1.0000000000000013
Product temperature excursion issue,product dropper issue,C2609219,0.6449761957407562
Product use complaint,product quality issue,C1881755,0.7140304673772386
Product use in unapproved indication,unevaluable event,C1262119,0.5704620766633446
Product use in unapproved therapeutic environment,device ineffective,C1167959,0.5496615097107839
Product use issue,product quality issue,C1881755,0.7670373693173512
Product used for unknown indication,malignant neoplasm of unknown primary site,C0588014,0.5851736171577397
Productive cough,Productive cough,C0239134,1.0000000000000002
Progesterone abnormal,blood prolactin abnormal,C0853620,0.6061629359557023
Progressive multifocal leukoencephalopathy,Progressive multifocal leukoencephalopathy,C0023524,1.0000000000000002
Progressive multiple sclerosis,progressive multiple sclerosis,C1095979,0.9999999999999997
Progressive muscular atrophy,Muscle atrophy,C0026846,0.8270433786950384
Progressive relapsing multiple sclerosis,progressive multiple sclerosis,C1095979,0.8794451127032439
Progressive supranuclear palsy,Parkinson's disease,C0030567,0.662520244563631
Prolactin-producing pituitary tumour,prolactin-producing pituitary tumour,C0278863,1.0
Prolapse,Vaginal prolapse,C0205990,0.7669050401973514
Prolonged labour,Prolonged labour,C0152154,0.9999999999999994
Prone position,decorticate posture,C0231475,0.5990880049696818
Prophylaxis against transplant rejection,Transplant rejection,C0018129,0.7427236329833626
Propionibacterium infection,Pseudomonas infection,C0033817,0.5976406465531807
Propionibacterium test positive,pseudomonas test positive,C2748111,0.6809853169815955
Propofol infusion syndrome,propofol infusion syndrome,C1328409,1.000000000000001
Prostate ablation,radical prostatectomy,C0194810,0.7177097501267468
Prostate cancer,Prostate cancer,C0376358,1.0000000000000002
Prostate cancer metastatic,Prostate cancer metastatic,C0936223,0.9999999999999999
Prostate cancer stage I,renal cell carcinoma stage i,C0278675,0.6313538797647045
Prostatectomy,radical prostatectomy,C0194810,0.9079495809149056
Prostatic abscess,Pelvic abscess,C0030785,0.7857612556666876
Prostatic adenoma,Prostatic adenoma,C0520477,1.0000000000000009
Prostatic disorder,Prostatic disorder,C0033575,1.0000000000000004
Prostatic haemorrhage,Penile haemorrhage,C0269002,0.7111725389133462
Prostatic operation,prostatic operation,C0194790,1.000000000000001
Prostatic pain,Prostatitis,C0033581,0.7912881309363201
Prostatic perforation,prostatic obstruction,C0268889,0.6796639960042015
Prostatic specific antigen,Prostatic dysplasia,C3160830,0.6269060256708123
Prostatic specific antigen abnormal,prostatic specific antigen abnormal,C0580555,0.9999999999999996
Prostatic specific antigen increased,Prostatic specific antigen increased,C0178415,1.0000000000000002
Prostatic varices,Varicocele,C0042341,0.6997596387886912
Prostatism,Prostatism,C0242453,1.0000000000000009
Prostatitis,Prostatitis,C0033581,1.0
Prostatomegaly,Prostatomegaly,C0426732,0.9999999999999999
Prosthetic cardiac valve thrombosis,coronary bypass thrombosis,C1142164,0.6386644473982012
Protein C decreased,protein c decreased,C0852955,1.000000000000001
Protein C increased,protein c decreased,C0852955,0.8310836633895163
Protein S decreased,Serum total protein decreased,C0860703,0.8059838927610384
Protein S deficiency,Protein C deficiency,C0398625,0.7155553975596758
Protein albumin ratio decreased,Albumin low,C0860864,0.8468627103380206
Protein intolerance,Protein allergy,C1112677,0.831175919419822
Protein total abnormal,protein total abnormal,C0855756,1.0000000000000013
Protein total decreased,Protein total decreased,C0860901,1.000000000000001
Protein total increased,protein total increased,C0855758,1.0000000000000002
Protein urine,protein urine,C0262923,0.9999999999999998
Protein urine present,Protein urine present,C0948586,0.9999999999999994
Protein-losing gastroenteropathy,Protein-losing gastroenteropathy,C0302858,1.0000000000000002
Proteinuria,Proteinuria,C0033687,1.0000000000000004
Proteus infection,proteus infection,C0033700,0.9999999999999991
Proteus test positive,proteus infection,C0033700,0.7454037805900633
Prothrombin consumption time prolonged,Coagulation time prolonged,C0151563,0.8215128990683378
Prothrombin level abnormal,Prothrombin level abnormal,C0860700,1.0000000000000004
Prothrombin level decreased,Prothrombin level decreased,C0553732,0.9999999999999994
Prothrombin level increased,Prothrombin level increased,C0151872,0.9999999999999999
Prothrombin time,Prothrombin time ratio,C0483455,0.8763401559769242
Prothrombin time abnormal,Prothrombin time abnormal,C0580412,0.9999999999999987
Prothrombin time prolonged,Prothrombin level increased,C0151872,0.881359280539666
Prothrombin time ratio,Prothrombin time ratio,C0483455,1.0000000000000007
Prothrombin time ratio abnormal,Prothrombin time abnormal,C0580412,0.9287580379622572
Prothrombin time ratio decreased,Prothrombin time shortened,C0580413,0.902881393647019
Prothrombin time ratio increased,Prothrombin level increased,C0151872,0.8569518994704775
Prothrombin time shortened,Prothrombin time shortened,C0580413,0.9999999999999999
Prurigo,Prurigo,C0033771,0.9999999999999989
Pruritus,Pruritus,C0033774,1.0000000000000013
Pruritus allergic,Allergic urticaria,C0149526,0.7822742483715937
Pruritus generalised,Pruritus generalised,C0475858,1.0000000000000004
Pruritus genital,Pruritus genital,C0033777,1.0
Pseudo Cushing^s syndrome,Cushing's syndrome,C0010481,0.9668475405653397
Pseudoaldosteronism,hyperaldosteronism,C0020428,0.906586846980239
Pseudobulbar palsy,Neuritis retrobulbar,C0085582,0.7615486634074835
Pseudocholinesterase deficiency,Pseudocholinesterase deficiency,C0268379,1.0000000000000013
Pseudocyst,Pancreatic pseudocyst,C0030299,0.7432349517454695
Pseudomembranous colitis,Pseudomembranous colitis,C1257843,0.9999999999999999
Pseudomonal bacteraemia,pseudomonal bacteraemia,C1142140,0.9999999999999994
Pseudomonal sepsis,Pseudomonal sepsis,C0152972,0.9999999999999996
Pseudomonas infection,Pseudomonas infection,C0033817,1.0
Pseudomonas test positive,pseudomonas test positive,C2748111,1.0000000000000007
Pseudoparalysis,Peritonitis,C0031154,0.6552409883466963
Pseudostroke,Heat stroke,C0018843,0.6785809723922729
Psoas abscess,psoas abscess,C0085222,1.0
Psoriasis,Psoriasis,C0033860,1.0000000000000004
Psoriasis area severity index,Psoriasis,C0033860,0.664062982252131
Psoriatic arthropathy,psoriatic arthropathy,C0003872,1.0
Psychiatric decompensation,Psychiatric decompensation,C0748055,1.0000000000000007
Psychiatric symptom,Psychiatric symptom,C0233401,1.0000000000000002
Psychogenic seizure,psychogenic seizure,C1142430,0.9999999999999997
Psychological trauma,psychological trauma,C3203533,1.0
Psychomotor hyperactivity,Overactivity,C1536696,0.7800011334882173
Psychomotor retardation,Psychomotor retardation,C0424230,1.000000000000001
Psychomotor skills impaired,Psychomotor skills impaired,C0877167,0.9999999999999997
Psychosomatic disease,Psychosomatic disease,C0033931,0.9999999999999992
Psychotic behaviour,Psychotic behaviour,C0740409,1.000000000000001
Psychotic disorder,Psychotic disorder,C0033975,0.9999999999999988
Psychotic disorder due to a general medical condition,Mental disorder due to a general medical condition,C0853895,0.7736053753271467
Psychotic symptom,Psychotic state,C0459435,0.9323576045666089
Pubic pain,Pelvic pain,C0030794,0.8511592571821831
Pubis fracture,Pelvic fracture,C0149531,0.8440703029903538
Pulmonary alveolar haemorrhage,Pulmonary alveolar haemorrhage,C0852879,0.9999999999999998
Pulmonary arterial hypertension,Pulmonary arterial hypertension,C2973725,0.9999999999999997
Pulmonary arterial pressure abnormal,pulmonary arterial pressure abnormal,C1168116,0.9999999999999998
Pulmonary arterial pressure decreased,Pulse pressure decreased,C0240840,0.7736731394850467
Pulmonary arterial pressure increased,pulmonary arterial pressure increased,C0852853,0.9999999999999998
Pulmonary arteriovenous fistula,Arteriovenous fistula,C0003855,0.7952287430038458
Pulmonary artery dilatation,pulmonary arterial pressure increased,C0852853,0.790278672720011
Pulmonary artery thrombosis,Pulmonary thrombosis,C0151946,0.9218525806759804
Pulmonary artery wall hypertrophy,Pulmonary arterial hypertension,C2973725,0.8169622896188439
Pulmonary calcification,Pulmonary ossification,C0264523,0.7467107535845563
Pulmonary cavitation,lung consolidation,C0521530,0.7087192897447537
Pulmonary congestion,Pulmonary congestion,C0242073,0.9999999999999997
Pulmonary contusion,Contusion,C0009938,0.7415283897352574
Pulmonary embolism,Pulmonary embolism,C0034065,1.0000000000000002
Pulmonary fibrosis,Pulmonary fibrosis,C0034069,1.0000000000000016
Pulmonary function test abnormal,Pulmonary function test abnormal,C0476405,1.0000000000000002
Pulmonary function test decreased,Pulmonary function test decreased,C0855775,0.9999999999999999
Pulmonary haematoma,pulmonary haematoma,C1096647,0.9999999999999997
Pulmonary haemorrhage,Pulmonary haemorrhage,C0151701,1.0000000000000002
Pulmonary histoplasmosis,Histoplasmosis,C0019655,0.7957110029650405
Pulmonary hypertension,Pulmonary hypertension,C0020542,1.0000000000000004
Pulmonary hypoplasia,Pulmonary hypoplasia,C0265783,1.0000000000000007
Pulmonary infarction,Pulmonary infarction,C0034074,1.0
Pulmonary malformation,Pulmonary hypoplasia,C0265783,0.6735873276178916
Pulmonary mass,Pulmonary mass,C0149726,1.0000000000000016
Pulmonary mucormycosis,Mucormycosis,C0026718,0.7370952205142893
Pulmonary mycosis,Pneumonia fungal,C0339961,0.8086556725637059
Pulmonary necrosis,renal necrosis,C0848084,0.6944032838878246
Pulmonary nocardiosis,Nocardiosis,C0028242,0.8561156327267234
Pulmonary oedema,Pulmonary oedema,C0034063,0.9999999999999999
Pulmonary pain,Painful respiration,C0423729,0.7200175581727167
Pulmonary pneumatocele,pneumomediastinum,C0025062,0.7981235081507371
Pulmonary renal syndrome,Respiratory distress syndrome,C1704437,0.6664631309272452
Pulmonary resection,pneumonectomy,C0032284,0.8915978010131463
Pulmonary sepsis,Infectious pneumonitis,C2721563,0.822226314399095
Pulmonary thrombosis,Pulmonary thrombosis,C0151946,1.0000000000000022
Pulmonary toxicity,Pulmonary toxicity,C0919924,0.9999999999999997
Pulmonary tuberculosis,Tuberculosis,C0041296,0.8621516087060419
Pulmonary valve disease,Cardiac valve disease,C0018824,0.7701246700482731
Pulmonary valve incompetence,Pulmonary valve incompetence,C0034088,0.9999999999999996
Pulmonary valve thickening,heart valve calcification,C1142152,0.628504244472122
Pulmonary vascular disorder,pulmonary vascular disorder,C0854416,1.0
Pulmonary vasculitis,Pulmonary vasculitis,C0234962,0.9999999999999984
Pulmonary venous thrombosis,Pulmonary thrombosis,C0151946,0.8864862686407485
Pulpitis dental,Parotitis,C0030583,0.6421954634018937
Pulse abnormal,Pulse abnormal,C0235472,1.0
Pulse absent,Pulse absent,C0277899,1.000000000000001
Pulseless electrical activity,Pulseless electrical activity,C0340861,0.9999999999999998
Punctate keratitis,Punctate keratitis,C0259799,0.9999999999999997
Puncture site haematoma,Puncture site haemorrhage,C0919883,0.8684842575539031
Puncture site haemorrhage,Puncture site haemorrhage,C0919883,1.000000000000002
Puncture site swelling,Injection site swelling,C0151605,0.8042853474003681
Pupil dilation procedure,Mydriasis,C0026961,0.7811631139408347
Pupil fixed,pupil fixed,C0235804,0.9999999999999999
Pupillary deformity,Pupillary disorder,C0034124,0.8107263889860092
Pupillary disorder,Pupillary disorder,C0034124,0.9999999999999999
Pupillary light reflex tests abnormal,pupillary light reflex tests abnormal,C0853998,1.0000000000000004
Pupillary reflex impaired,pupillary light reflex tests abnormal,C0853998,0.8285779457278084
Pupils unequal,Pupils unequal,C0003079,0.9999999999999991
Purple glove syndrome,Purple glove syndrome,C1141936,0.9999999999999986
Purpura,Purpura,C0034150,1.0000000000000018
Purpura fulminans,Purpura fulminans,C0085650,1.0
Purpura non-thrombocytopenic,Purpura non-thrombocytopenic,C0242461,1.0000000000000004
Purpura senile,Purpura non-thrombocytopenic,C0242461,0.7553762618137222
Purulent discharge,purulent discharge,C0333274,1.0
Pustular psoriasis,Pustular psoriasis,C0152081,1.0000000000000004
Pustule,Pustule,C0241157,1.0000000000000004
Putamen haemorrhage,basal ganglia haemorrhage,C0472377,0.6926147363701621
Pyelocaliectasis,Urolithiasis,C0451641,0.6902674666513828
Pyelonephritis,Pyelonephritis,C0034186,1.0000000000000007
Pyelonephritis acute,Pyelonephritis acute,C0520575,1.0
Pyelonephritis chronic,Pyelonephritis chronic,C0085697,0.9999999999999994
Pyloric stenosis,Pyloric stenosis,C0034194,1.000000000000001
Pyoderma,Pyoderma,C0034212,1.0000000000000013
Pyoderma gangrenosum,Pyoderma gangrenosum,C0085652,1.0000000000000016
Pyogenic granuloma,Pyogenic granuloma,C0085653,0.9999999999999996
Pyramidal tract syndrome,Pyramidal tract syndrome,C1504405,0.999999999999999
Pyrexia,Hyperpyrexia,C0392676,0.8356295350368222
Pyroglutamate increased,pyroglutamate increased,C0877242,0.9999999999999996
Pyroglutamic acidosis,pyroglutamate increased,C0877242,0.7006722058138001
Pyuria,Pyuria,C0034359,1.0000000000000016
QRS axis abnormal,QRS axis abnormal,C1112436,1.0000000000000004
Quadranopia,Hemianopia,C0018979,0.8085930566172853
Quadrantanopia,Hemianopia,C0018979,0.7714493085888801
Quadriparesis,Quadriparesis,C0270790,1.0000000000000004
Quadriplegia,Quadriplegia,C0034372,0.9999999999999982
Quality of life decreased,quality of life decreased,C1963786,0.9999999999999991
Rabbit syndrome,rabbit syndrome,C2363775,0.9999999999999998
Radial nerve palsy,Radial nerve palsy,C1306600,1.0000000000000002
Radiation associated haemorrhage,radiation associated pain,C0856052,0.6623682725993271
Radiation fibrosis,Radiation recall syndrome,C0520802,0.7838854610265741
Radiation inflammation,radiation mucositis,C0852882,0.7765567297536772
Radiation injury,Radiation injury,C0034530,0.9999999999999997
Radiation interaction,Radiation injury,C0034530,0.761967639445073
Radiation necrosis,radiation necrosis,C1963737,1.0
Radiation oesophagitis,Radiation oesophagitis,C0238113,0.9999999999999999
Radiation pneumonitis,Radiation pneumonitis,C0206063,1.0
Radiation proctitis,Proctitis,C0033246,0.7676350887984185
Radiation skin injury,Radiation skin injury,C1504383,0.9999999999999993
Radiculitis,Radiculitis,C0034544,1.0000000000000009
Radiculitis brachial,brachial plexopathy,C0700251,0.7395563297809599
Radiculopathy,Radiculopathy,C0700594,0.9999999999999997
Radioisotope scan abnormal,bone scan abnormal,C0740353,0.8292094865717374
Radioisotope uptake increased,iodine uptake abnormal,C0853609,0.6675034833584802
Radius fracture,Radius fracture,C0034628,1.0000000000000007
Rales,Rales,C0034642,1.0
Rapid eye movement sleep behaviour disorder,rapid eye movements sleep abnormal,C0392188,0.8658059010738832
Rapid eye movements sleep abnormal,rapid eye movements sleep abnormal,C0392188,1.0000000000000002
Rapidly progressive osteoarthritis,Osteoarthritis aggravated,C0853312,0.7937303167446625
Rash,Rash,C0015230,1.0000000000000009
Rash erythematous,Rash erythematous,C0234913,0.9999999999999993
Rash follicular,Rash follicular,C0234916,1.0000000000000002
Rash generalised,Rash generalised,C0497365,1.0000000000000009
Rash macular,Rash macular,C0221201,1.0000000000000018
Rash maculo-papular,Rash maculo-papular,C0423791,1.0000000000000002
Rash morbilliform,Rash morbilliform,C0234918,0.9999999999999997
Rash papular,Rash papular,C1519353,1.0
Rash papulosquamous,Rash papular,C1519353,0.7536585432145079
Rash pruritic,Prurigo,C0033771,0.8743853858249921
Rash pustular,Rash pustular,C0085641,1.0000000000000016
Rash vesicular,Rash vesicular,C0221203,1.0000000000000004
Rathke^s cleft cyst,Cleft palate,C0008925,0.6255690160741345
Raynaud^s phenomenon,Raynaud's phenomenon,C0034735,0.9842864696629258
Reaction to azo-dyes,reaction to colouring,C0853041,0.6775878798456825
Reaction to drug excipients,Reaction to drug excipients,C0853040,1.0000000000000016
Reaction to excipient,Reaction to drug excipients,C0853040,0.8735903765639946
Reaction to preservatives,reaction to preservatives,C1609506,1.0000000000000007
Reading disorder,Dyslexia,C0476254,0.8066213998937339
Rebound eczema,rebound psoriasis,C2721560,0.7951489171252598
Rebound effect,Rebound effect,C0549262,1.0000000000000004
Rebound nasal congestion,Rebound hypertension,C0520540,0.798127806001194
Rebound psychosis,Rebound effect,C0549262,0.8300078676576863
Rebound tachycardia,Rebound hypertension,C0520540,0.8429399630753234
Recall phenomenon,Recall phenomenon,C1262013,1.0
Recalled product administered,Recall phenomenon,C1262013,0.6491665070793183
Rectal abscess,Rectal abscess,C0149770,1.0000000000000007
Rectal adenocarcinoma,rectal adenocarcinoma,C0149978,1.000000000000001
Rectal adenoma,Rectal polyp,C0034887,0.8083879865753557
Rectal cancer metastatic,rectal cancer metastatic,C0861772,0.9999999999999996
Rectal discharge,Rectal discharge,C0221780,1.0000000000000009
Rectal haemorrhage,Rectal haemorrhage,C0267596,1.000000000000001
Rectal neoplasm,rectal lesion,C0577034,0.8425311709168997
Rectal polyp,Rectal polyp,C0034887,1.0
Rectal prolapse,Rectal prolapse,C0034888,1.0000000000000013
Rectal tenesmus,Rectal tenesmus,C0232726,1.0000000000000002
Rectal ulcer,Rectal ulcer,C0400839,0.9999999999999994
Rectocele,rectocele,C0149771,1.0000000000000004
Recurrence of neuromuscular blockade,recurrence of neuromuscular blockade,C2363784,0.9999999999991874
Recurrent cancer,recurrent cancer,C1458156,0.9999999999999987
Red blood cell abnormality,Red blood cell abnormality,C0391870,1.0000000000000018
Red blood cell count abnormal,Red blood cell abnormality,C0391870,0.911057395478509
Red blood cell count decreased,Red blood cell count decreased,C0427457,1.0000000000000018
Red blood cell count increased,Red blood cell count increased,C0427458,1.0000000000000009
Red blood cell sedimentation rate abnormal,red blood cell sedimentation rate abnormal,C0438217,1.0
Red blood cell sedimentation rate increased,Red blood cell sedimentation rate increased,C0151632,0.9999999999999997
Red cell distribution width decreased,red cell distribution width decreased,C1096165,0.9999999999999988
Red cell distribution width increased,Red cell distribution width increased,C0948014,1.0000000000000004
Red man syndrome,Red man syndrome,C1306792,1.0000000000000002
Reduced facial expression,Facial wasting,C1112303,0.7999438478766004
Reflexes abnormal,Reflexes abnormal,C0034933,0.9999999999999999
Reflux gastritis,Reflux gastritis,C0267158,0.9999999999999999
Reflux laryngitis,Reflux esophagitis,C0014869,0.7702405637719983
Refraction disorder,Refraction disorder,C0034951,0.9999999999999998
Refractory cancer,recurrent cancer,C1458156,0.7452511544618861
Refusal of treatment by patient,refusal of treatment by patient,C0040809,0.9999999999999996
Regressive behaviour,Bradypsychic response,C0233633,0.5978649445706332
Regurgitation,Regurgitation,C2004489,0.9999999999999997
Rehabilitation therapy,rehabilitation therapy,C0034991,1.0000000000000009
Relapsing fever,Relapsing fever,C0035021,1.0000000000000002
Relapsing-remitting multiple sclerosis,Multiple sclerosis relapse,C0856120,0.8040708486282374
Remission not achieved,leukaemia in remission,C0686584,0.669662760909794
Renal aplasia,Renal aplasia,C1619700,1.0000000000000022
Renal arteriosclerosis,renal artery arteriosclerosis,C0281964,0.9669251560647065
Renal artery arteriosclerosis,renal artery arteriosclerosis,C0281964,0.9999999999992747
Renal artery stenosis,Renal artery stenosis,C0035067,0.9999999999999992
Renal artery thrombosis,Renal artery thrombosis,C0340608,1.0000000000000004
Renal cancer,Renal cancer,C0740457,0.9999999999999999
Renal cancer metastatic,Metastatic renal cell carcinoma,C0278678,0.9379890817722703
Renal cell carcinoma,Renal cell carcinoma,C0007134,1.0
Renal colic,Renal colic,C0152169,0.9999999999999999
Renal cortical necrosis,Renal cortical necrosis,C0022656,0.9999999999999996
Renal cyst,Renal cyst,C2173677,1.000000000000001
Renal cyst haemorrhage,renal cyst haemorrhage,C1168323,1.0000000000000002
Renal disorder,Nephropathy,C0022658,0.7635625332461912
Renal echinococciasis,renal cyst infection,C0403383,0.6208577575809897
Renal embolism,Renal artery thrombosis,C0340608,0.7186385375380093
Renal failure,Renal failure,C0035078,0.9999999999999993
Renal failure acute,Renal failure acute,C0022660,0.9999999999999994
Renal function test abnormal,Renal function test abnormal,C0236151,0.9999999999999986
Renal haematoma,renal cyst haemorrhage,C1168323,0.8519467339589797
Renal haemorrhage,Renal haemorrhage,C0392175,0.9999999999999998
Renal hamartoma,Renal mass,C0262613,0.6674819785890324
Renal hypertension,renal hypertension,C0020544,0.9999999999999998
Renal impairment,Renal impairment,C1565489,1.0000000000000009
Renal infarct,Renal infarct,C0035085,0.9999999999999993
Renal injury,renal injury,C0160420,1.0000000000000013
Renal ischaemia,renal ischaemia,C0920646,1.0000000000000004
Renal lipomatosis,Lipoid nephrosis,C0027721,0.7643160559884921
Renal mass,Renal mass,C0262613,0.9999999999999996
Renal neoplasm,Renal neoplasm,C0022665,1.0000000000000002
Renal pain,Renal pain,C0558489,1.0000000000000007
Renal papillary necrosis,Renal papillary necrosis,C0022667,1.0000000000000013
Renal replacement therapy,renal transplant,C0022671,0.7723270936945196
Renal salt-wasting syndrome,renal salt-wasting syndrome,C1262146,0.9999999999999996
Renal stone removal,Nephrolithiasis,C0392525,0.6529660850313314
Renal surgery,renal transplant,C0022671,0.6407936758178465
Renal transplant failure,Transplant failure,C1262018,0.8462014743540981
Renal tubular acidosis,Renal tubular acidosis,C0001126,0.9999999999999992
Renal tubular atrophy,renal tubular atrophy,C0853104,1.0000000000000009
Renal tubular disorder,Renal tubular disorder,C0151747,1.0000000000000004
Renal tubular dysfunction,Renal tubular disorder,C0151747,0.9195450206854237
Renal tubular injury,renal injury,C0160420,0.8071727650017909
Renal tubular necrosis,Renal tubular necrosis,C1720775,0.9999999999999997
Renin decreased,renin increased,C0855390,0.7905187977924728
Renin increased,renin increased,C0855390,1.000000000000001
Repetitive speech,Repetitive speech,C0392185,1.0000000000000007
Resorption bone increased,Osteosclerosis,C0029464,0.7096361395169556
Respiration abnormal,Respiration abnormal,C1260922,1.0000000000000013
Respiratory acidosis,Respiratory acidosis,C0001127,1.0000000000000009
Respiratory alkalosis,Respiratory alkalosis,C0002064,0.9999999999999998
Respiratory arrest,Respiratory arrest,C0162297,0.9999999999999996
Respiratory depression,Respiratory depression,C0235063,1.0000000000000004
Respiratory disorder,Respiratory disorder,C0035204,0.9999999999999999
Respiratory disorder neonatal,Respiratory disorder neonatal,C1285373,1.0
Respiratory distress,Respiratory distress,C0476273,1.000000000000001
Respiratory dyskinesia,Respiratory paralysis,C0035232,0.7212669874769603
Respiratory failure,Respiratory failure,C1145670,1.0000000000000004
Respiratory fatigue,respiratory fatigue,C2363970,0.9999999999999998
Respiratory muscle weakness,respiratory muscle weakness,C1836141,1.0000000000000009
Respiratory papilloma,Papillomatosis,C0205875,0.7016240406902906
Respiratory paralysis,Respiratory paralysis,C0035232,1.0000000000000016
Respiratory rate decreased,Respiratory rate decreased,C0231837,1.0000000000000002
Respiratory rate increased,Hyperpnea,C0220854,0.8037121281062359
Respiratory symptom,Respiratory disorder,C0035204,0.7672507571369754
Respiratory syncytial virus bronchiolitis,Respiratory syncytial virus infection,C0035235,0.930327977893826
Respiratory syncytial virus infection,Respiratory syncytial virus infection,C0035235,0.9999999999999999
Respiratory syncytial virus test positive,Respiratory syncytial virus infection,C0035235,0.7399479279763166
Respiratory therapy,Respiratory disorder,C0035204,0.6863193206144916
Respiratory tract congestion,Respiratory tract congestion,C0948349,0.9999999999999988
Respiratory tract haemorrhage,Respiratory tract haemorrhage,C0235560,0.9999999999999996
Respiratory tract infection,Respiratory tract infection,C0035243,1.0000000000000004
Respiratory tract infection bacterial,respiratory tract infection bacterial,C1261959,1.0000000000000004
Respiratory tract infection fungal,respiratory tract infection fungal,C1261958,1.0000000000000007
Respiratory tract infection viral,Respiratory tract infection viral,C0877203,0.9999999999999998
Respiratory tract irritation,respiratory tract irritation,C0854118,0.9999999999999991
Respite care,life support,C0521300,0.6115995241054623
Resting tremor,Tremor fine,C0234373,0.8034173887796445
Restless arm syndrome,Restless legs syndrome,C0035258,0.8831749577034701
Restless legs syndrome,Restless legs syndrome,C0035258,1.0
Restlessness,Motor restlessness,C0700075,0.8618767478366907
Restrictive cardiomyopathy,Restrictive cardiomyopathy,C0007196,1.0
Restrictive pulmonary disease,Restrictive cardiomyopathy,C0007196,0.7131226902257822
Resuscitation,resuscitation,C0035273,1.0000000000000013
Retching,Retching,C0232602,1.0
Reticulocyte count decreased,Reticulocytopenia,C0858867,0.9096421579663885
Reticulocyte count increased,reticulocyte count increased,C0853718,0.9999999999999998
Reticulocytosis,Reticulocytosis,C0206160,1.0000000000000004
Reticuloendothelial dysfunction,Reticuloendotheliosis,C0035288,0.7794241193631306
Retinal artery occlusion,Retinal artery occlusion,C0035302,0.9999999999999988
Retinal artery thrombosis,retinal artery thrombosis,C0235768,0.9999999999999993
Retinal cyst,retinal cyst,C0520724,0.9999999999999998
Retinal degeneration,Retinal degeneration,C0035304,1.0000000000000016
Retinal detachment,Retinal detachment,C0035305,0.9999999999999993
Retinal disorder,Retinal disorder,C0035309,1.0
Retinal fibrosis,retinal fibrosis,C1839942,0.9999999999999991
Retinal haemorrhage,Retinal haemorrhage,C0035317,0.9999999999999991
Retinal ischaemia,Retinal ischaemia,C0162291,0.9999999999999991
Retinal neovascularisation,retinal neovascularisation,C0035320,1.0000000000000002
